frame_id,timestamp,track_id,theta_rad,rho_m,confidence,beam_index,range_index
0,1783479043751,0,-0.02548180707911721,1.8841949842349488,0.125,121.0,519.0
0,1783479043751,1,-0.21135937241651329,1.3283213681962858,0.125,74.0,365.0
0,1783479043751,2,0.1673770752662562,1.8661471395583689,0.125,170.0,514.0
0,1783479043751,3,0.0019198621771937625,2.0357968795182204,0.125,128.0,561.0
0,1783479043751,4,0.19128808601857852,1.9383385182646888,0.125,176.0,534.0
0,1783479043751,5,-0.2556907354171693,1.3644170575494456,0.125,63.0,375.0
0,1783479043751,6,-0.3501130479500625,1.227253438007438,0.125,40.0,337.0
0,1783479043751,7,0.21135937241651329,1.9672150697472168,0.125,181.0,542.0
0,1783479043751,8,-0.09616764178488756,1.876975846364317,0.125,103.0,517.0
0,1783479043751,10,0.0921533845053006,1.844489725946473,0.125,151.0,508.0
0,1783479043751,11,-0.27192229746071656,1.793955760852049,0.125,59.0,494.0
0,1783479043751,12,-0.18727382873899157,1.8661471395583689,0.125,80.0,514.0
0,1783479043751,13,0.13159782560037245,1.6712304170513053,0.125,161.0,460.0
0,1783479043751,14,-0.3921754829231258,1.201986455460226,0.125,30.0,330.0
0,1783479043751,15,0.3087487446777969,2.0682829999360646,0.125,205.0,570.0
0,1783479043751,16,-0.34191000046568915,1.754250502563573,0.125,42.0,483.0
0,1783479043751,17,0.16336281798666924,1.9239002425234248,0.125,169.0,530.0
0,1783479043751,18,0.021467549799530253,2.1115978271598563,0.125,133.0,582.0
0,1783479043751,19,-0.2841396022246769,1.3283213681962858,0.125,56.0,365.0
0,1783479043751,20,0.26773350725593015,1.9780437765531647,0.125,195.0,545.0
0,1783479043751,21,0.017627825445142728,1.858928001687737,0.125,132.0,512.0
0,1783479043751,22,-0.2314306588144481,1.819222743399261,0.125,69.0,501.0
0,1783479043751,23,0.19530234329816545,2.0285777416475885,0.125,177.0,559.0
0,1783479043751,24,-0.02548180707911721,2.0394064484535366,0.125,121.0,562.0
0,1783479043751,25,-0.2314306588144481,1.786736622981417,0.125,69.0,492.0
0,1783479043751,26,0.14748032179352083,2.1152073960951725,0.125,165.0,583.0
0,1783479043751,28,0.13962634015954636,2.147693516513016,0.125,163.0,592.0
0,1783479043751,30,0.1832595714594046,1.891414122105581,0.125,174.0,521.0
0,1783479043751,31,-0.39653880605311165,1.7217643821457291,0.125,29.0,474.0
0,1783479043751,32,0.3501130479500625,1.862537570623053,0.125,215.0,513.0
0,1783479043751,33,0.2033308578573394,2.0971595514185926,0.125,179.0,578.0
0,1783479043751,34,0.1593485607070823,1.9708246386825328,0.125,168.0,543.0
0,1783479043751,35,-0.13159782560037245,1.891414122105581,0.125,94.0,521.0
0,1783479043751,36,-0.17540558982543014,1.8372705880758409,0.125,83.0,506.0
0,1783479043751,37,0.32934362985133,1.790346191916733,0.125,210.0,493.0
0,1783479043751,38,0.41364303272265607,1.826441881269893,0.125,230.0,503.0
0,1783479043751,39,-0.017627825445142728,1.9491672250706367,0.125,123.0,537.0
0,1783479043751,40,0.10803588069844901,1.8083940365933129,0.125,155.0,498.0
0,1783479043751,41,0.041015237421866746,1.815613174463945,0.125,138.0,500.0
0,1783479043751,42,0.1673770752662562,1.8372705880758409,0.125,170.0,506.0
0,1783479043751,44,-0.06859143960337716,1.9419480872000048,0.125,110.0,535.0
0,1783479043751,45,-0.11588986233242347,1.137014214624538,0.125,98.0,312.0
0,1783479043751,46,0.37105699897399447,2.302904980731604,0.125,220.0,635.0
0,1783479043751,47,0.24347343065320895,2.1729604990602285,0.125,189.0,599.0
0,1783479043751,48,0.11187560505283653,2.1873987748014923,0.125,156.0,603.0
0,1783479043751,49,0.2923426497090502,1.9997011901650608,0.125,201.0,551.0
0,1783479043751,50,-0.06073745796940267,1.9816533454884806,0.125,112.0,546.0
0,1783479043751,51,-0.0019198621771937625,2.0033107591003767,0.125,127.0,552.0
0,1783479043751,52,-0.009773843811168246,1.905852397846845,0.125,125.0,525.0
0,1783479043751,53,0.13159782560037245,1.8372705880758409,0.125,161.0,506.0
0,1783479043751,54,-0.21938788697568723,1.292225678843126,0.125,72.0,355.0
0,1783479043751,55,0.11972958668681101,2.0718925688713807,0.125,158.0,571.0
0,1783479043751,56,0.32934362985133,1.8228323123345769,0.125,210.0,502.0
0,1783479043751,57,-0.07644542123735164,1.830051450205209,0.125,108.0,504.0
0,1783479043751,58,0.3921754829231258,2.328171963278816,0.125,225.0,642.0
0,1783479043751,59,-0.17924531417981765,1.3860744711613417,0.125,82.0,381.0
0,1783479043751,60,0.06073745796940267,1.5954294694096693,0.125,143.0,439.0
0,1783479043751,61,0.23544491609403506,2.0105298969710086,0.125,187.0,554.0
0,1783479043751,62,-0.09616764178488756,1.848099294881789,0.125,103.0,509.0
0,1783479043751,63,0.10000736613927509,2.0141394659063248,0.125,153.0,555.0
0,1783479043751,65,-0.048869219055841226,1.754250502563573,0.125,115.0,483.0
0,1783479043751,66,0.05672320068981571,2.0971595514185926,0.125,142.0,578.0
0,1783479043751,67,-0.3543018381548489,1.7145452442750972,0.125,39.0,472.0
0,1783479043751,68,-0.32114058236695664,1.7001069685338333,0.125,47.0,468.0
0,1783479043751,69,-0.052883476335428184,1.920290673588109,0.125,114.0,529.0
0,1783479043751,70,0.10000736613927509,1.873366277429001,0.125,153.0,516.0
0,1783479043751,71,-0.14748032179352083,1.3644170575494456,0.125,90.0,375.0
0,1783479043751,73,0.2314306588144481,2.1332552407717524,0.125,186.0,588.0
0,1783479043751,74,0.29635690698863715,2.0285777416475885,0.125,202.0,559.0
0,1783479043751,75,0.4050909193878839,2.2451518777665482,0.125,228.0,619.0
0,1783479043751,76,0.009773843811168246,2.0610638620654327,0.125,130.0,568.0
0,1783479043751,77,-0.1356120828799594,1.840880157011157,0.125,93.0,507.0
0,1783479043751,78,0.06073745796940267,2.1693509301249123,0.125,143.0,598.0
0,1783479043751,79,0.07260569688296412,1.793955760852049,0.125,146.0,494.0
0,1783479043751,81,-0.21135937241651329,1.3788553332907096,0.125,74.0,379.0
0,1783479043751,82,-0.10402162341886204,1.9311193803940567,0.125,101.0,532.0
0,1783479043751,83,0.03717551306747922,1.9744342076178487,0.125,137.0,544.0
0,1783479043751,84,-0.31695179216217023,1.7362026578869931,0.125,48.0,478.0
0,1783479043751,85,-0.16336281798666924,1.797565329787365,0.125,86.0,495.0
0,1783479043751,87,0.14748032179352083,1.9455576561353207,0.125,165.0,536.0
0,1783479043751,88,0.41364303272265607,2.28846670499034,0.125,230.0,631.0
0,1783479043751,90,0.32515483964654357,2.28846670499034,0.125,209.0,631.0
0,1783479043751,91,0.0019198621771937625,1.5412859353799295,0.125,128.0,424.0
0,1783479043751,92,-0.3087487446777969,1.21642473120149,0.125,50.0,334.0
0,1783479043751,93,-0.017627825445142728,1.8517088638171049,0.125,123.0,510.0
0,1783479043751,94,0.3543018381548489,2.241542308831232,0.125,216.0,618.0
0,1783479043751,95,0.017627825445142728,1.775907916175469,0.125,132.0,489.0
0,1783479043751,96,-0.4876449930072157,1.6026486072803012,0.125,8.0,441.0
0,1783479043751,97,0.2759365547403035,2.2162753262840202,0.125,197.0,611.0
0,1783479043751,99,0.43947390565217215,1.9094619667821608,0.125,236.0,526.0
0,1783479043751,100,-0.2033308578573394,1.812003605528629,0.125,76.0,499.0
0,1783479043751,101,0.13159782560037245,1.891414122105581,0.125,161.0,521.0
0,1783479043751,102,0.3087487446777969,1.725373951081045,0.125,205.0,475.0
0,1783479043751,103,-0.013613568165555772,1.7506409336282571,0.125,124.0,482.0
0,1783479043751,104,0.37105699897399447,1.830051450205209,0.125,220.0,504.0
0,1783479043751,105,0.09616764178488756,2.1621317922542804,0.125,152.0,596.0
0,1783479043751,106,0.34191000046568915,2.2668092913784443,0.125,213.0,625.0
0,1783479043751,107,-0.19931660057775244,1.256129989489966,0.125,77.0,345.0
0,1783479043751,108,0.34191000046568915,1.5990390383449853,0.125,213.0,440.0
0,1783479043751,109,0.005759586531581287,1.5015806770914535,0.125,129.0,413.0
0,1783479043751,110,0.11187560505283653,1.5665529179271414,0.125,156.0,431.0
0,1783479043751,111,-0.2556907354171693,1.772298347240153,0.125,63.0,488.0
0,1783479043751,112,0.4611159883769019,1.9275098114587408,0.125,241.0,531.0
0,1783479043751,113,0.30054569719342356,2.310124118602236,0.125,203.0,637.0
0,1783479043751,114,0.12374384396639797,2.2126657573487045,0.125,159.0,610.0
0,1783479043751,115,0.44802601898694444,1.9636055008119007,0.125,238.0,541.0
0,1783479043751,116,-0.2881538595042638,1.7362026578869931,0.125,55.0,478.0
0,1783479043751,117,-0.21537362969610027,1.840880157011157,0.125,73.0,507.0
0,1783479043751,119,0.07644542123735164,2.2126657573487045,0.125,147.0,610.0
0,1783479043751,120,0.26371924997634316,2.317343256472868,0.125,194.0,639.0
0,1783479043751,121,0.4656538444320871,1.862537570623053,0.125,242.0,513.0
0,1783479043751,122,0.3127630019573839,1.8517088638171049,0.125,206.0,510.0
0,1783479043751,123,0.033335788713091695,2.0791117067420126,0.125,136.0,573.0
0,1783479043751,124,0.2033308578573394,2.1621317922542804,0.125,179.0,596.0
0,1783479043751,125,0.3045599544730105,2.2595901535078124,0.125,204.0,623.0
0,1783479043751,126,-0.1832595714594046,1.5809911936684053,0.125,81.0,435.0
0,1783479043751,127,0.32515483964654357,1.6206964519568814,0.125,209.0,446.0
0,1783479043751,128,-0.14748032179352083,1.8661471395583689,0.125,90.0,514.0
0,1783479043751,129,0.021467549799530253,1.9347289493293727,0.125,133.0,533.0
0,1783479043751,131,0.26371924997634316,2.0646734310007484,0.125,194.0,569.0
0,1783479043751,132,0.32934362985133,2.3245623943435003,0.125,210.0,641.0
